#track name	x	y	length	speed
FSB/T964	24	1	156.40	7.00
FSB/T960	23	1	100.90	7.00
FSE/P687D	29	1	124.20	14.00
BBH/T447	22	1	162.00	11.00
FSB/P850U	21	1	90.50	9.00
BBH/T341	39	1	178.60	11.00
FSE/P687U	30	1	74.10	18.00
SYR/TD191	23	1	303.80	8.00
FSB/T959	19	1	118.40	7.00
SYR/T307	42	1	359.00	8.00
BBH/T357	37	1	183.00	11.00
CFD/P667D	2	1	64.00	23.00
FSA/P630D	82	1	87.10	14.00
FSE/P688D	28	1	34.50	18.00
BBH/T355	38	1	324.80	11.00
SSS/T709	76	1	165.00	9.00
SYR/TF140	15	1	198.40	8.00
SYR/TD183	24	1	268.10	8.00
FSE/T995	10	1	188.20	7.00
SSS/T707	74	1	27.00	9.00
SSS/T705	69	1	88.00	9.00
MUL/T654	43	1	92.00	10.00
MUL/T655	39	1	274.40	10.00
MUL/T653	40	1	129.40	10.00
MUL/T650	44	1	71.30	10.00
FSE/T172	34	1	66.60	11.00
SHM/P808D	4	1	65.00	15.00
CFD/P667U	3	1	80.00	23.00
FSA/P631U	83	1	28.70	14.00
FSE/T983	13	1	157.70	7.00
FSE/P685U	14	1	45.90	10.00
SYR/TF178	11	1	193.50	8.00
FSE/P694	35	1	137.40	18.00
FSE/T985	12	1	174.70	7.00
SYR/TF170	12	1	230.90	8.00
FSE/T987	8	1	104.20	7.00
SYR/TD171	25	1	333.40	8.00
FSA/P632D	85	1	80.40	14.00
BBH/T477	16	1	558.30	11.00
BBH/P812D	20	1	137.20	14.00
SYR/T323	40	1	542.70	8.00
SYR/TD307	11	1	392.40	8.00
FSA/P632U	86	1	62.50	14.00
SYR/TF164	13	1	303.50	8.00
FSB/T585	88	1	107.00	7.00
SHM/P808U	5	1	60.00	15.00
SYR/TD161	26	1	324.70	8.00
FSA/T730	81	1	94.40	9.00
FSE/T863IB	17	1	97.80	7.00
SSS/P467D	73	1	27.50	14.00
SYR/TB091	67	1	285.30	8.00
BBH/T401	30	1	191.00	11.00
SYR/TD295	12	1	338.00	8.00
CFD/T769	1	1	200.00	13.00
BBH/T407	29	1	138.60	11.00
FSE/T865	16	1	175.40	7.00
FSE/T659	36	1	250.10	11.00
SYR/T233	51	1	411.00	8.00
SYR/TB099	66	1	247.50	8.00
FSE/T657	38	1	152.30	11.00
SYR/TD091	33	1	285.80	8.00
SYR/TF114	18	1	444.00	8.00
SYR/TD099	32	1	248.80	8.00
SYR/TD285	13	1	308.00	8.00
FSE/T663	25	1	36.30	7.00
FSE/T662	37	1	109.80	11.00
BBH/T417	28	1	219.00	11.00
BBH/T419	27	1	136.00	11.00
SYR/TB088	5	1	277.80	8.00
SYR/T247	50	1	195.10	8.00
SYR/T251	49	1	291.20	8.00
SSN/T680	68	1	97.00	9.00
SYR/TF100	19	1	352.80	8.00
BBH/T429	24	1	334.60	11.00
BBH/T427	25	1	28.50	11.00
FSE/T672	32	1	98.80	11.00
BBH/T423	26	1	163.80	11.00
SYR/TB072	7	1	183.00	8.00
FSE/T679	24	1	109.00	7.00
SYR/T211	52	1	657.80	8.00
SSN/P603	67	1	34.00	17.00
SYR/TF132	16	1	259.20	8.00
SYR/TF200	9	1	273.00	8.00
BBH/T439	23	1	214.00	11.00
SYR/TF206	8	1	130.50	8.00
SSS/T684	75	1	64.80	9.00
SSS/T683	70	1	98.40	9.00
BBH/T906	18	1	234.10	11.00
BBH/T908	17	1	57.00	11.00
SSS/T686	77	1	57.00	9.00
FSE/T871	11	1	93.90	7.00
BBH/T902	21	1	317.00	11.00
FSE/P883	15	1	45.90	10.00
SYR/TF124	17	1	288.50	8.00
FSA/T584	87	1	104.30	10.00
SYR/TF212	7	1	224.60	8.00
SYR/TD249	16	1	271.00	8.00
SYR/TF220	6	1	229.90	8.00
SYR/T078	6	1	201.90	8.00
SYR/P813D	41	1	968.00	13.00
SYR/T285	44	1	304.90	8.00
SYR/T277	45	1	299.50	8.00
SHM/T531	12	1	154.00	7.00
SYR/TD107	31	1	272.20	8.00
SHM/T537	10	1	320.20	7.00
SYR/T187	55	1	50.60	8.00
SHM/T533	11	1	43.00	7.00
SYR/TD237	18	1	107.60	8.00
SHM/P813D	6	1	79.00	19.00
SYR/TF230	5	1	305.10	8.00
SSN/P604D	66	1	26.00	17.00
CFD/P624U	7	1	30.00	23.00
SYR/T189	54	1	340.50	8.00
CFD/P647D	4	1	17.00	23.00
CFD/P604D	8	1	80.00	18.00
SYR/T295	43	1	337.10	8.00
SSS/T706X	71	1	57.80	9.00
FSE/T798	31	1	95.20	11.00
FSE/T799	33	1	125.10	11.00
CFD/P624D	5	1	22.00	18.00
SYR/TD241	17	1	228.00	8.00
SHM/T549	8	1	244.90	7.00
CFD/T624X	6	1	265.00	13.00
CFD/P604U	9	1	110.00	13.00
SHM/T545	9	1	168.40	7.00
SYR/T199	53	1	327.70	8.00
MUL/T608	59	1	75.00	10.00
SYR/TF242	4	1	343.60	8.00
MUL/T604	60	1	115.00	10.00
SYR/T263	48	1	191.60	8.00
FSA/P651D	84	1	28.70	14.00
FSE/T787	26	1	94.50	7.00
MUL/T602	61	1	246.20	10.00
SYR/TD271	14	1	445.10	8.00
MUL/T600	62	1	124.00	10.00
CFD/T702	10	1	250.00	8.00
SYR/TD259	15	1	369.10	8.00
SYR/TF252	3	1	341.00	8.00
FSA/T685	78	1	165.80	9.00
SYR/T275	46	1	35.00	8.00
FSA/T688	79	1	62.50	9.00
FSA/T687	80	1	161.00	9.00
SYR/T269	47	1	196.00	8.00
SYR/TB114	3	1	444.50	8.00
SYR/TD153	27	1	240.00	8.00
BBH/P809U	19	1	124.50	14.00
SYR/TB117	64	1	414.00	8.00
SYR/TF088	20	1	208.70	8.00
SYR/TD201	22	1	366.00	8.00
SYR/TF262	2	1	281.80	8.00
MUL/T629	50	1	103.00	10.00
SYR/TF080	21	1	169.30	8.00
MUL/T620	54	1	68.90	10.00
BBH/T387	33	1	26.00	11.00
SYR/T141	62	1	312.00	8.00
BBH/T389	32	1	234.00	11.00
SYR/T142	1	1	521.80	8.00
BBH/T383	34	1	218.00	11.00
MUL/T623	51	1	95.00	10.00
SYR/TB124	2	1	304.20	8.00
