#route id	dir	tracks
SYR/RD117A	dn:	SYR/TD117 
SYR/RD225A	dn:	SYR/TD225 SYR/TD231 
SYR/RD107A	dn:	SYR/TD107 
SYR/RD171A	dn:	SYR/TD171 
SYR/RD161A	dn:	SYR/TD161 
SYR/RD071A	dn:	SYR/TD071 SYR/TD073 
SYR/RD307A	dn:	SYR/TD307 
SYR/RD249A	dn:	SYR/TD249 
SYR/RD153A	dn:	SYR/TD153 
SYR/RD285A	dn:	SYR/TD285 
SYR/RD091A	dn:	SYR/TD091 
SYR/RD237A	dn:	SYR/TD237 SYR/TD241 
SYR/RD145A	dn:	SYR/TD145 
SYR/RD295A	dn:	SYR/TD295 
SYR/RD183A	dn:	SYR/TD183 
CFD/R702A-CFD/R704D	dn:	CFD/T702 CFD/P604U CFD/P604D CFD/P624U CFD/T624X CFD/P624D CFD/P647D CFD/P667U CFD/P667D CFD/T769 
SYR/RD201A	dn:	SYR/TD201 
SYR/RD081A	dn:	SYR/TD081 
SYR/RD191A	dn:	SYR/TD191 
SYR/RD259A	dn:	SYR/TD259 
SYR/RD099A	dn:	SYR/TD099 
SYR/RD213A	dn:	SYR/TD213 
SYR/RD271A	dn:	SYR/TD271 
SYR/RD131A	dn:	SYR/TD131 

